node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Apoa4	F13b	10090.ENSMUSP00000034585	10090.ENSMUSP00000027615	0	0	0	0	0.584	0	0	0.116	0.616
Apoa4	C4bp	10090.ENSMUSP00000034585	10090.ENSMUSP00000027657	0	0	0	0	0.185	0	0	0.324	0.426
Apoa4	Pigr	10090.ENSMUSP00000034585	10090.ENSMUSP00000027675	0	0	0	0	0.271	0	0	0.082	0.303
Apoa4	Hc	10090.ENSMUSP00000034585	10090.ENSMUSP00000028233	0	0	0	0	0.235	0	0	0.082	0.268
Apoa4	Gsn	10090.ENSMUSP00000034585	10090.ENSMUSP00000028239	0	0	0	0	0.062	0	0	0.424	0.436
Apoa4	F2	10090.ENSMUSP00000034585	10090.ENSMUSP00000028681	0	0	0	0	0.277	0.053	0	0.204	0.408
Apoa4	Car2	10090.ENSMUSP00000034585	10090.ENSMUSP00000029078	0	0	0	0	0	0	0	0.170	0.170
Apoa4	Bche	10090.ENSMUSP00000034585	10090.ENSMUSP00000029367	0	0	0	0	0.168	0	0	0.175	0.285
Apoa4	Orm1	10090.ENSMUSP00000034585	10090.ENSMUSP00000030044	0	0	0	0	0.426	0	0	0.332	0.601
Apoa4	Hgfac	10090.ENSMUSP00000034585	10090.ENSMUSP00000030985	0	0	0	0	0.530	0.053	0	0.069	0.549
Apoa4	C8b	10090.ENSMUSP00000034585	10090.ENSMUSP00000031663	0	0	0	0	0.298	0	0	0.290	0.480
Apoa4	Mug1	10090.ENSMUSP00000034585	10090.ENSMUSP00000032228	0	0	0	0	0.287	0	0	0.238	0.434
Apoa4	Pzp	10090.ENSMUSP00000034585	10090.ENSMUSP00000032510	0	0	0	0	0.248	0	0	0.411	0.539
Apoa4	Hpx	10090.ENSMUSP00000034585	10090.ENSMUSP00000033185	0	0	0	0	0.317	0	0	0.428	0.593
Apoa4	F7	10090.ENSMUSP00000034585	10090.ENSMUSP00000033820	0	0	0	0	0.291	0.053	0	0	0.300
Apoa4	Proz	10090.ENSMUSP00000034585	10090.ENSMUSP00000033822	0	0	0	0	0.543	0.053	0	0.047	0.552
Apoa4	Ces1c	10090.ENSMUSP00000034585	10090.ENSMUSP00000034189	0	0	0	0	0.267	0	0	0	0.267
Apoa4	Hba-a2	10090.ENSMUSP00000034585	10090.ENSMUSP00000090895	0	0	0	0	0.061	0	0	0.131	0.150
Apoa4	C1qa	10090.ENSMUSP00000034585	10090.ENSMUSP00000048836	0	0	0	0	0.062	0	0	0.134	0.152
Apoa4	C1qc	10090.ENSMUSP00000034585	10090.ENSMUSP00000036747	0	0	0	0	0.058	0	0	0.144	0.159
Apoa4	F10	10090.ENSMUSP00000034585	10090.ENSMUSP00000068389	0	0	0	0	0.150	0.053	0	0	0.161
Apoa4	Thbs1	10090.ENSMUSP00000034585	10090.ENSMUSP00000044903	0	0	0	0	0	0	0	0.162	0.162
Apoa4	Tcn2	10090.ENSMUSP00000034585	10090.ENSMUSP00000105620	0	0	0	0	0.082	0	0	0.131	0.168
Apoa4	Gpx1	10090.ENSMUSP00000034585	10090.ENSMUSP00000081010	0	0	0	0	0.061	0	0	0.152	0.170
Apoa4	Mup19	10090.ENSMUSP00000034585	10090.ENSMUSP00000079442	0	0	0	0	0.172	0	0	0	0.171
Apoa4	Colec11	10090.ENSMUSP00000034585	10090.ENSMUSP00000049285	0	0	0	0	0.176	0	0	0	0.176
Apoa4	Sepp1	10090.ENSMUSP00000034585	10090.ENSMUSP00000124305	0	0	0	0	0.103	0	0	0.120	0.177
Apoa4	C1qb	10090.ENSMUSP00000034585	10090.ENSMUSP00000040246	0	0	0	0	0	0	0	0.178	0.178
Apoa4	Fn1	10090.ENSMUSP00000034585	10090.ENSMUSP00000054499	0	0	0	0	0	0	0	0.183	0.183
Apoa4	Lum	10090.ENSMUSP00000034585	10090.ENSMUSP00000040877	0	0	0	0	0.061	0.049	0	0.162	0.186
Apoa4	Mup18	10090.ENSMUSP00000034585	10090.ENSMUSP00000095648	0	0	0	0	0.189	0	0	0	0.189
Apoa4	Gapdh	10090.ENSMUSP00000034585	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.197	0.197
Apoa4	Mst1	10090.ENSMUSP00000034585	10090.ENSMUSP00000035211	0	0	0	0	0.203	0	0	0	0.203
Apoa4	B2m	10090.ENSMUSP00000034585	10090.ENSMUSP00000099534	0	0	0	0	0.052	0	0	0.197	0.206
Apoa4	Gpx3	10090.ENSMUSP00000034585	10090.ENSMUSP00000081011	0	0	0	0	0.066	0	0	0.186	0.207
Apoa4	Colec10	10090.ENSMUSP00000034585	10090.ENSMUSP00000037867	0	0	0	0	0.210	0	0	0	0.210
Apoa4	C1rb	10090.ENSMUSP00000034585	10090.ENSMUSP00000139376	0	0	0	0	0.103	0.053	0	0.150	0.215
Apoa4	C1ra	10090.ENSMUSP00000034585	10090.ENSMUSP00000063707	0	0	0	0	0.135	0.053	0	0.123	0.219
Apoa4	Mup17	10090.ENSMUSP00000034585	10090.ENSMUSP00000103108	0	0	0	0	0.215	0	0	0.049	0.221
Apoa4	Cpn2	10090.ENSMUSP00000034585	10090.ENSMUSP00000069318	0	0	0	0	0.173	0.049	0	0.090	0.222
Apoa4	Ica	10090.ENSMUSP00000034585	10090.ENSMUSP00000035163	0	0	0	0	0.194	0	0	0.075	0.222
Apoa4	F5	10090.ENSMUSP00000034585	10090.ENSMUSP00000083204	0	0	0	0	0.182	0	0	0.120	0.249
Apoa4	Masp1	10090.ENSMUSP00000034585	10090.ENSMUSP00000087327	0	0	0	0	0.157	0.053	0	0.135	0.250
Apoa4	H2-Q10	10090.ENSMUSP00000034585	10090.ENSMUSP00000134163	0	0	0	0	0.141	0	0	0.165	0.252
Apoa4	Masp2	10090.ENSMUSP00000034585	10090.ENSMUSP00000049729	0	0	0	0	0.213	0.053	0	0.081	0.255
Apoa4	Cfi	10090.ENSMUSP00000034585	10090.ENSMUSP00000077074	0	0	0	0	0.266	0.053	0	0	0.275
Apoa4	Mug2	10090.ENSMUSP00000034585	10090.ENSMUSP00000080469	0	0	0	0	0.270	0	0	0.063	0.287
Apoa4	Mup12	10090.ENSMUSP00000034585	10090.ENSMUSP00000112787	0	0	0	0	0.203	0	0	0.147	0.291
Apoa4	Igj	10090.ENSMUSP00000034585	10090.ENSMUSP00000084259	0	0	0	0	0	0	0	0.292	0.292
Apoa4	Mup10	10090.ENSMUSP00000034585	10090.ENSMUSP00000095655	0	0	0	0	0.210	0	0	0.144	0.294
Apoa4	C1s2	10090.ENSMUSP00000034585	10090.ENSMUSP00000066999	0	0	0	0	0.111	0.053	0	0.240	0.305
Apoa4	C8g	10090.ENSMUSP00000034585	10090.ENSMUSP00000041855	0	0	0	0	0.176	0	0	0.204	0.317
Apoa4	Cfh	10090.ENSMUSP00000034585	10090.ENSMUSP00000107607	0	0	0	0	0.132	0	0	0.259	0.329
Apoa4	Serpina3k	10090.ENSMUSP00000034585	10090.ENSMUSP00000042095	0	0	0	0	0.308	0	0	0.088	0.342
Apoa4	Crp	10090.ENSMUSP00000034585	10090.ENSMUSP00000044665	0	0	0	0	0.145	0	0	0.265	0.345
Apoa4	C1s1	10090.ENSMUSP00000034585	10090.ENSMUSP00000125531	0	0	0	0	0.160	0.053	0	0.263	0.363
Apoa4	Igfals	10090.ENSMUSP00000034585	10090.ENSMUSP00000060169	0	0	0	0	0.264	0.049	0	0.172	0.370
Apoa4	C4b	10090.ENSMUSP00000034585	10090.ENSMUSP00000069418	0	0	0	0	0.155	0	0	0.292	0.376
Apoa4	Serpina6	10090.ENSMUSP00000034585	10090.ENSMUSP00000044033	0	0	0	0	0.291	0	0	0.158	0.378
Apoa4	Pglyrp2	10090.ENSMUSP00000034585	10090.ENSMUSP00000129964	0	0	0	0	0.194	0	0	0.267	0.384
Apoa4	Serpina1e	10090.ENSMUSP00000034585	10090.ENSMUSP00000082130	0	0	0	0	0.281	0	0	0.185	0.389
Apoa4	Cp	10090.ENSMUSP00000034585	10090.ENSMUSP00000088857	0	0	0	0	0.132	0	0	0.330	0.394
Apoa4	Serpinf2	10090.ENSMUSP00000034585	10090.ENSMUSP00000048704	0	0	0	0	0.234	0	0	0.244	0.397
Apoa4	Serpina1d	10090.ENSMUSP00000034585	10090.ENSMUSP00000077909	0	0	0	0	0.314	0	0	0.185	0.417
Apoa4	Serpina1c	10090.ENSMUSP00000034585	10090.ENSMUSP00000073695	0	0	0	0	0.314	0	0	0.185	0.417
Apoa4	Ces3a	10090.ENSMUSP00000034585	10090.ENSMUSP00000090910	0	0	0	0	0.249	0	0	0.260	0.420
Apoa4	Serpina1a	10090.ENSMUSP00000034585	10090.ENSMUSP00000082132	0	0	0	0	0.309	0	0	0.223	0.440
Apoa4	Serpina1b	10090.ENSMUSP00000034585	10090.ENSMUSP00000093101	0	0	0	0	0.303	0	0	0.230	0.440
Apoa4	Trf	10090.ENSMUSP00000034585	10090.ENSMUSP00000035158	0	0	0	0	0.140	0	0	0.392	0.455
Apoa4	Itih1	10090.ENSMUSP00000034585	10090.ENSMUSP00000126449	0	0	0	0	0.273	0	0	0.285	0.458
Apoa4	Serpina3m	10090.ENSMUSP00000034585	10090.ENSMUSP00000130979	0	0	0	0	0.281	0	0	0.295	0.471
Apoa4	Azgp1	10090.ENSMUSP00000034585	10090.ENSMUSP00000038559	0	0	0	0	0.166	0	0	0.395	0.474
Apoa4	Itih2	10090.ENSMUSP00000034585	10090.ENSMUSP00000046530	0	0	0	0	0.362	0	0	0.214	0.477
Apoa4	Orm2	10090.ENSMUSP00000034585	10090.ENSMUSP00000074810	0	0	0	0	0.397	0	0	0.274	0.544
Apoa4	Klkb1	10090.ENSMUSP00000034585	10090.ENSMUSP00000112174	0	0	0	0	0.482	0.053	0	0.205	0.576
Apoa4	Hp	10090.ENSMUSP00000034585	10090.ENSMUSP00000074436	0	0	0	0	0.166	0.053	0	0.533	0.599
Apoa4	C8a	10090.ENSMUSP00000034585	10090.ENSMUSP00000067541	0	0	0	0	0.562	0	0	0.155	0.614
Apoa4	Mbl1	10090.ENSMUSP00000034585	10090.ENSMUSP00000048765	0	0	0	0	0.587	0	0	0.123	0.622
Apoa4	Ttr	10090.ENSMUSP00000034585	10090.ENSMUSP00000074783	0	0	0	0	0.254	0.043	0	0.557	0.657
Apoa4	Serpina10	10090.ENSMUSP00000034585	10090.ENSMUSP00000048357	0	0	0	0	0.612	0	0	0.278	0.708
Apoa4	Saa2	10090.ENSMUSP00000034585	10090.ENSMUSP00000075365	0	0	0	0	0.173	0.051	0.540	0.325	0.723
Apoa4	Saa1	10090.ENSMUSP00000034585	10090.ENSMUSP00000119150	0	0	0	0	0.177	0.051	0.540	0.321	0.723
Apoa4	Gc	10090.ENSMUSP00000034585	10090.ENSMUSP00000046636	0	0	0	0	0.631	0	0	0.520	0.815
Apoa4	Serpinc1	10090.ENSMUSP00000034585	10090.ENSMUSP00000068971	0	0	0	0	0.734	0	0	0.389	0.830
Apoa4	Fgb	10090.ENSMUSP00000034585	10090.ENSMUSP00000039472	0	0	0	0	0.752	0.044	0	0.361	0.835
Apoa4	Fgg	10090.ENSMUSP00000034585	10090.ENSMUSP00000037018	0	0	0	0	0.721	0.044	0	0.465	0.844
Apoa4	Pltp	10090.ENSMUSP00000034585	10090.ENSMUSP00000061519	0	0	0	0	0.061	0.088	0.720	0.431	0.845
Apoa4	Fga	10090.ENSMUSP00000034585	10090.ENSMUSP00000133117	0	0	0	0	0.722	0.044	0	0.464	0.845
Apoa4	Apoe	10090.ENSMUSP00000034585	10090.ENSMUSP00000133302	0	0	0	0.628	0.132	0	0.800	0.662	0.862
Apoa4	Apoc1	10090.ENSMUSP00000034585	10090.ENSMUSP00000104091	0	0	0	0	0.183	0.058	0.540	0.668	0.866
Apoa4	Lcat	10090.ENSMUSP00000034585	10090.ENSMUSP00000038232	0	0	0	0	0.178	0.269	0.720	0.473	0.899
Apoa4	Lrp1	10090.ENSMUSP00000034585	10090.ENSMUSP00000044004	0	0	0	0	0	0	0.900	0.106	0.906
Apoa4	Apoc2	10090.ENSMUSP00000034585	10090.ENSMUSP00000115173	0	0	0	0	0.360	0	0.800	0.732	0.962
Apoa4	Apoc3	10090.ENSMUSP00000034585	10090.ENSMUSP00000034586	0	0	0	0	0.485	0	0.800	0.837	0.981
Apoa4	Apob	10090.ENSMUSP00000034585	10090.ENSMUSP00000036044	0	0	0	0	0.597	0.702	0.720	0.759	0.990
Apob	Apoh	10090.ENSMUSP00000036044	10090.ENSMUSP00000000049	0	0	0	0	0.668	0	0.720	0.677	0.967
Apob	Serpinf1	10090.ENSMUSP00000036044	10090.ENSMUSP00000000769	0	0	0	0	0.119	0	0	0.128	0.199
Apob	Col1a1	10090.ENSMUSP00000036044	10090.ENSMUSP00000001547	0	0	0	0	0.061	0	0	0.170	0.187
Apob	Pon1	10090.ENSMUSP00000036044	10090.ENSMUSP00000002663	0	0	0	0	0.231	0	0.720	0.676	0.924
Apob	Apoc4	10090.ENSMUSP00000036044	10090.ENSMUSP00000003071	0	0	0	0	0.216	0	0.720	0.476	0.875
Apob	Prdx2	10090.ENSMUSP00000036044	10090.ENSMUSP00000005292	0	0	0	0	0	0.047	0	0.169	0.174
Apob	Psmb4	10090.ENSMUSP00000036044	10090.ENSMUSP00000005923	0	0	0	0	0	0	0	0.182	0.181
Apob	Itih3	10090.ENSMUSP00000036044	10090.ENSMUSP00000006697	0	0	0	0	0.701	0	0	0.138	0.732
Apob	Itih4	10090.ENSMUSP00000036044	10090.ENSMUSP00000006703	0	0	0	0	0.312	0	0	0.257	0.467
Apob	Saa4	10090.ENSMUSP00000036044	10090.ENSMUSP00000006952	0	0	0	0	0.173	0	0.540	0.300	0.710
Apob	Psmd2	10090.ENSMUSP00000036044	10090.ENSMUSP00000007212	0	0	0	0	0	0.198	0	0	0.198
Apob	Plg	10090.ENSMUSP00000036044	10090.ENSMUSP00000014578	0	0	0	0	0.483	0.042	0.826	0.708	0.971
Apob	Hspa8	10090.ENSMUSP00000036044	10090.ENSMUSP00000015800	0	0	0	0	0	0.090	0	0.212	0.253
Apob	Cd5l	10090.ENSMUSP00000036044	10090.ENSMUSP00000015998	0	0	0	0	0.172	0	0	0.136	0.255
Apob	Vtn	10090.ENSMUSP00000036044	10090.ENSMUSP00000017488	0	0	0	0	0.206	0	0	0.408	0.510
Apob	Egfr	10090.ENSMUSP00000036044	10090.ENSMUSP00000020329	0	0	0	0	0.095	0.057	0	0.231	0.286
Apob	Serpina3n	10090.ENSMUSP00000036044	10090.ENSMUSP00000021506	0	0	0	0	0.175	0	0	0.251	0.356
Apob	Gpld1	10090.ENSMUSP00000036044	10090.ENSMUSP00000021773	0	0	0	0	0.100	0	0.624	0.148	0.687
Apob	F12	10090.ENSMUSP00000036044	10090.ENSMUSP00000021948	0	0	0	0	0.497	0.043	0.173	0.106	0.597
Apob	Cpb2	10090.ENSMUSP00000036044	10090.ENSMUSP00000022576	0	0	0	0	0.713	0	0	0.093	0.729
Apob	Clu	10090.ENSMUSP00000036044	10090.ENSMUSP00000022616	0	0	0	0	0	0	0.720	0.550	0.868
Apob	C9	10090.ENSMUSP00000036044	10090.ENSMUSP00000022749	0	0	0	0	0.245	0	0	0.198	0.369
Apob	Serpind1	10090.ENSMUSP00000036044	10090.ENSMUSP00000023450	0	0	0	0	0.308	0	0	0.288	0.486
Apob	Tfrc	10090.ENSMUSP00000036044	10090.ENSMUSP00000023486	0	0	0	0	0.062	0	0	0.339	0.353
Apob	Fetub	10090.ENSMUSP00000036044	10090.ENSMUSP00000023587	0	0	0	0	0.556	0	0	0.261	0.658
Apob	Kng1	10090.ENSMUSP00000036044	10090.ENSMUSP00000023589	0	0	0	0	0.309	0	0	0.286	0.485
Apob	Hrg	10090.ENSMUSP00000036044	10090.ENSMUSP00000023590	0	0	0	0	0.602	0	0	0.232	0.681
Apob	Serping1	10090.ENSMUSP00000036044	10090.ENSMUSP00000023994	0	0	0	0	0.136	0	0	0.195	0.275
Apob	C3	10090.ENSMUSP00000036044	10090.ENSMUSP00000024988	0	0	0	0	0.183	0	0	0.447	0.530
Apob	Cfb	10090.ENSMUSP00000036044	10090.ENSMUSP00000025229	0	0	0	0	0.170	0.043	0.173	0.254	0.444
Apob	C2	10090.ENSMUSP00000036044	10090.ENSMUSP00000025230	0	0	0	0	0.118	0.043	0.173	0.085	0.276
Apob	Apom	10090.ENSMUSP00000036044	10090.ENSMUSP00000025249	0	0	0	0	0.239	0	0.720	0.633	0.915
Apob	Mbl2	10090.ENSMUSP00000036044	10090.ENSMUSP00000025797	0	0	0	0	0.353	0	0	0.229	0.480
Apob	Rbp4	10090.ENSMUSP00000036044	10090.ENSMUSP00000025951	0	0	0	0	0.206	0	0	0.361	0.471
Apob	Cpn1	10090.ENSMUSP00000036044	10090.ENSMUSP00000026210	0	0	0	0	0.220	0	0	0.245	0.386
Apob	Cps1	10090.ENSMUSP00000036044	10090.ENSMUSP00000027144	0	0	0	0	0.350	0	0	0.080	0.377
Apob	Spp2	10090.ENSMUSP00000036044	10090.ENSMUSP00000027518	0	0	0	0	0.524	0	0	0.151	0.578
Apob	F13b	10090.ENSMUSP00000036044	10090.ENSMUSP00000027615	0	0	0	0	0.616	0	0	0.130	0.652
Apob	C4bp	10090.ENSMUSP00000036044	10090.ENSMUSP00000027657	0	0	0	0	0.185	0	0	0.145	0.274
Apob	Pigr	10090.ENSMUSP00000036044	10090.ENSMUSP00000027675	0	0	0	0	0.263	0	0	0.062	0.279
Apob	Hc	10090.ENSMUSP00000036044	10090.ENSMUSP00000028233	0	0	0	0	0.285	0	0	0.136	0.356
Apob	Gsn	10090.ENSMUSP00000036044	10090.ENSMUSP00000028239	0	0	0	0	0.062	0	0	0.211	0.228
Apob	Cat	10090.ENSMUSP00000036044	10090.ENSMUSP00000028610	0	0	0	0	0.088	0	0	0.412	0.441
Apob	F2	10090.ENSMUSP00000036044	10090.ENSMUSP00000028681	0	0	0	0	0.548	0.042	0.173	0.399	0.756
Apob	Psma7	10090.ENSMUSP00000036044	10090.ENSMUSP00000029082	0	0	0	0	0	0	0	0.156	0.156
Apob	Bche	10090.ENSMUSP00000036044	10090.ENSMUSP00000029367	0	0	0	0	0.170	0.135	0	0.264	0.426
Apob	Orm1	10090.ENSMUSP00000036044	10090.ENSMUSP00000030044	0	0	0	0	0.354	0	0	0.261	0.503
Apob	Vcp	10090.ENSMUSP00000036044	10090.ENSMUSP00000030164	0	0	0	0	0	0.414	0	0.271	0.554
Apob	Hgfac	10090.ENSMUSP00000036044	10090.ENSMUSP00000030985	0	0	0	0	0.483	0.043	0.173	0.068	0.568
Apob	Pf4	10090.ENSMUSP00000036044	10090.ENSMUSP00000031320	0	0	0	0	0	0	0	0.184	0.184
Apob	C8b	10090.ENSMUSP00000036044	10090.ENSMUSP00000031663	0	0	0	0	0.331	0	0	0.190	0.435
Apob	Mug1	10090.ENSMUSP00000036044	10090.ENSMUSP00000032228	0	0	0	0	0.287	0	0	0.341	0.511
Apob	Pzp	10090.ENSMUSP00000036044	10090.ENSMUSP00000032510	0	0	0	0	0.310	0	0	0.415	0.579
Apob	Hpx	10090.ENSMUSP00000036044	10090.ENSMUSP00000033185	0	0	0	0	0.290	0	0	0.266	0.457
Apob	F7	10090.ENSMUSP00000036044	10090.ENSMUSP00000033820	0	0	0	0	0.243	0.042	0.173	0.372	0.573
Apob	Proz	10090.ENSMUSP00000036044	10090.ENSMUSP00000033822	0	0	0	0	0.331	0.043	0.173	0	0.424
Apob	Ces1c	10090.ENSMUSP00000036044	10090.ENSMUSP00000034189	0	0	0	0	0.255	0.059	0	0.101	0.314
Apob	Apoc3	10090.ENSMUSP00000036044	10090.ENSMUSP00000034586	0	0	0	0	0.509	0	0.600	0.945	0.988
Apob	Trf	10090.ENSMUSP00000036044	10090.ENSMUSP00000035158	0	0	0	0	0.160	0.134	0	0.181	0.352
Apob	Ica	10090.ENSMUSP00000036044	10090.ENSMUSP00000035163	0	0	0	0	0.228	0.134	0	0.061	0.317
Apob	Mst1	10090.ENSMUSP00000036044	10090.ENSMUSP00000035211	0	0	0	0	0.220	0	0	0.055	0.231
Apob	Lum	10090.ENSMUSP00000036044	10090.ENSMUSP00000040877	0	0	0	0	0.063	0.079	0	0.108	0.163
Apob	Bpifa2	10090.ENSMUSP00000036044	10090.ENSMUSP00000046080	0	0	0	0	0	0	0	0.163	0.163
Apob	Postn	10090.ENSMUSP00000036044	10090.ENSMUSP00000072773	0	0	0	0	0	0.127	0	0.088	0.169
Apob	Reln	10090.ENSMUSP00000036044	10090.ENSMUSP00000124052	0	0	0	0	0.062	0	0	0.155	0.173
Apob	Mup18	10090.ENSMUSP00000036044	10090.ENSMUSP00000095648	0	0	0	0	0.173	0	0	0	0.173
Apob	Hba-a2	10090.ENSMUSP00000036044	10090.ENSMUSP00000090895	0	0	0	0	0.098	0	0	0.125	0.177
Apob	Colec11	10090.ENSMUSP00000036044	10090.ENSMUSP00000049285	0	0	0	0	0.179	0	0	0	0.179
Apob	Mup19	10090.ENSMUSP00000036044	10090.ENSMUSP00000079442	0	0	0	0	0.165	0	0	0.072	0.191
Apob	Mup12	10090.ENSMUSP00000036044	10090.ENSMUSP00000112787	0	0	0	0	0.195	0	0	0.044	0.197
Apob	Sepp1	10090.ENSMUSP00000036044	10090.ENSMUSP00000124305	0	0	0	0	0.099	0	0	0.148	0.199
Apob	Mup10	10090.ENSMUSP00000036044	10090.ENSMUSP00000095655	0	0	0	0	0.203	0	0	0	0.203
Apob	Mup17	10090.ENSMUSP00000036044	10090.ENSMUSP00000103108	0	0	0	0	0.207	0	0	0	0.207
Apob	Thbs1	10090.ENSMUSP00000036044	10090.ENSMUSP00000044903	0	0	0	0	0	0	0	0.210	0.210
Apob	Colec10	10090.ENSMUSP00000036044	10090.ENSMUSP00000037867	0	0	0	0	0.221	0	0	0	0.221
Apob	Cpn2	10090.ENSMUSP00000036044	10090.ENSMUSP00000069318	0	0	0	0	0.193	0.079	0	0	0.225
Apob	Gpx3	10090.ENSMUSP00000036044	10090.ENSMUSP00000081011	0	0	0	0	0.062	0	0	0.212	0.229
Apob	C1qa	10090.ENSMUSP00000036044	10090.ENSMUSP00000048836	0	0	0	0	0	0	0	0.239	0.238
Apob	Spata5	10090.ENSMUSP00000036044	10090.ENSMUSP00000103747	0	0	0	0	0	0.241	0	0	0.240
Apob	B2m	10090.ENSMUSP00000036044	10090.ENSMUSP00000099534	0	0	0	0	0	0	0	0.249	0.248
Apob	Gpx1	10090.ENSMUSP00000036044	10090.ENSMUSP00000081010	0	0	0	0	0.058	0	0	0.236	0.249
Apob	C4b	10090.ENSMUSP00000036044	10090.ENSMUSP00000069418	0	0	0	0	0.171	0	0	0.164	0.278
Apob	C8g	10090.ENSMUSP00000036044	10090.ENSMUSP00000041855	0	0	0	0	0.209	0	0	0.133	0.285
Apob	Masp1	10090.ENSMUSP00000036044	10090.ENSMUSP00000087327	0	0	0	0	0.151	0.043	0.173	0.063	0.286
Apob	C1rb	10090.ENSMUSP00000036044	10090.ENSMUSP00000139376	0	0	0	0	0.088	0.043	0.173	0.129	0.288
Apob	C1s2	10090.ENSMUSP00000036044	10090.ENSMUSP00000066999	0	0	0	0	0.095	0.043	0.173	0.125	0.289
Apob	Serpina3k	10090.ENSMUSP00000036044	10090.ENSMUSP00000042095	0	0	0	0	0.281	0	0	0.061	0.296
Apob	Pglyrp2	10090.ENSMUSP00000036044	10090.ENSMUSP00000129964	0	0	0	0	0.187	0	0	0.178	0.303
Apob	Igfals	10090.ENSMUSP00000036044	10090.ENSMUSP00000060169	0	0	0	0	0.209	0.079	0	0.121	0.304
Apob	Masp2	10090.ENSMUSP00000036044	10090.ENSMUSP00000049729	0	0	0	0	0.190	0.043	0.173	0.055	0.313
Apob	C1ra	10090.ENSMUSP00000036044	10090.ENSMUSP00000063707	0	0	0	0	0.123	0.043	0.173	0.135	0.319
Apob	Hspa1b	10090.ENSMUSP00000036044	10090.ENSMUSP00000133815	0	0	0	0	0	0.090	0	0.286	0.322
Apob	Azgp1	10090.ENSMUSP00000036044	10090.ENSMUSP00000038559	0	0	0	0	0.231	0	0	0.166	0.331
Apob	Cfd	10090.ENSMUSP00000036044	10090.ENSMUSP00000056836	0	0	0	0	0.051	0.043	0.173	0.218	0.334
Apob	F10	10090.ENSMUSP00000036044	10090.ENSMUSP00000068389	0	0	0	0	0.152	0.042	0.173	0.127	0.335
Apob	C1s1	10090.ENSMUSP00000036044	10090.ENSMUSP00000125531	0	0	0	0	0.163	0.043	0.173	0.128	0.345
Apob	Mug2	10090.ENSMUSP00000036044	10090.ENSMUSP00000080469	0	0	0	0	0.257	0	0	0.165	0.353
Apob	F5	10090.ENSMUSP00000036044	10090.ENSMUSP00000083204	0	0	0	0	0.179	0	0	0.259	0.366
Apob	Fn1	10090.ENSMUSP00000036044	10090.ENSMUSP00000054499	0	0	0	0	0.081	0	0	0.355	0.382
Apob	Serpina1e	10090.ENSMUSP00000036044	10090.ENSMUSP00000082130	0	0	0	0	0.279	0	0	0.181	0.384
Apob	Itih1	10090.ENSMUSP00000036044	10090.ENSMUSP00000126449	0	0	0	0	0.289	0	0	0.172	0.387
Apob	Serpina1c	10090.ENSMUSP00000036044	10090.ENSMUSP00000073695	0	0	0	0	0.315	0	0	0.181	0.415
Apob	Vwf	10090.ENSMUSP00000036044	10090.ENSMUSP00000107873	0	0	0	0	0	0	0	0.422	0.422
Apob	Serpina1a	10090.ENSMUSP00000036044	10090.ENSMUSP00000082132	0	0	0	0	0.311	0	0	0.206	0.430
Apob	Cfi	10090.ENSMUSP00000036044	10090.ENSMUSP00000077074	0	0	0	0	0.266	0.043	0.173	0.138	0.432
Apob	Serpina6	10090.ENSMUSP00000036044	10090.ENSMUSP00000044033	0	0	0	0	0.302	0	0	0.221	0.433
Apob	Serpina3m	10090.ENSMUSP00000036044	10090.ENSMUSP00000130979	0	0	0	0	0.260	0	0	0.270	0.437
Apob	Serpina1b	10090.ENSMUSP00000036044	10090.ENSMUSP00000093101	0	0	0	0	0.311	0	0	0.224	0.443
Apob	Serpinf2	10090.ENSMUSP00000036044	10090.ENSMUSP00000048704	0	0	0	0	0.323	0	0	0.215	0.446
Apob	Cp	10090.ENSMUSP00000036044	10090.ENSMUSP00000088857	0	0	0	0	0.134	0	0	0.387	0.446
Apob	Ces3a	10090.ENSMUSP00000036044	10090.ENSMUSP00000090910	0	0	0	0	0.242	0.059	0	0.313	0.467
Apob	Hspa5	10090.ENSMUSP00000036044	10090.ENSMUSP00000097747	0	0	0	0	0	0.233	0	0.344	0.475
Apob	Mbl1	10090.ENSMUSP00000036044	10090.ENSMUSP00000048765	0	0	0	0	0.398	0	0	0.170	0.480
Apob	Gapdh	10090.ENSMUSP00000036044	10090.ENSMUSP00000113942	0	0	0	0	0	0.067	0	0.468	0.482
Apob	Cfh	10090.ENSMUSP00000036044	10090.ENSMUSP00000107607	0	0	0	0	0.133	0	0	0.440	0.494
Apob	Orm2	10090.ENSMUSP00000036044	10090.ENSMUSP00000074810	0	0	0	0	0.330	0	0	0.275	0.494
Apob	Serpina1d	10090.ENSMUSP00000036044	10090.ENSMUSP00000077909	0	0	0	0	0.383	0	0	0.227	0.503
Apob	Klkb1	10090.ENSMUSP00000036044	10090.ENSMUSP00000112174	0	0	0	0	0.427	0.043	0.173	0.101	0.538
Apob	Serpina10	10090.ENSMUSP00000036044	10090.ENSMUSP00000048357	0	0	0	0	0.520	0	0	0.080	0.540
Apob	Hp	10090.ENSMUSP00000036044	10090.ENSMUSP00000074436	0	0	0	0	0.177	0.043	0.173	0.464	0.604
